"task","user","slide","x","y","bb","type","timestamp"
"task1","minaya23","s2","310.26150755189764","452.2618707436991","none","none","1651627593819"
"task1","minaya23","s2","291.11914064703313","465.4090009895768","none","none","1651627593866"
"task1","minaya23","s2","249.15309411551564","485.83723976049464","none","none","1651627593921"
"task1","minaya23","s2","253.8094610341347","481.7153591686395","none","none","1651627593971"
"task1","minaya23","s2","251.3927748627038","462.52081990596656","none","none","1651627594021"
"task1","minaya23","s2","266.03394524405564","425.50528624132824","none","none","1651627594079"
"task1","minaya23","s2","245.63953110704256","443.93059256101185","none","none","1651627594126"
"task1","minaya23","s2","268.92137263215653","423.01082467342354","none","none","1651627594191"
"task1","minaya23","s2","289.3231500952234","405.1878892515551","none","none","1651627594278"
"task1","minaya23","s2","225.65486259705585","385.64656803938396","none","none","1651627594339"
"task1","minaya23","s2","209.76593294178772","405.98874906211506","none","none","1651627594385"
"task1","minaya23","s2","239.27122777849482","438.75536431567036","none","none","1651627594437"
"task1","minaya23","s2","270.07455756775545","433.19603113038875","none","none","1651627594483"
"task1","minaya23","s2","264.94877736842386","439.98971205848056","none","none","1651627594537"
"task1","minaya23","s2","257.2331970411337","439.8818647511241","none","none","1651627594586"
"task1","minaya23","s2","234.87296046337985","401.3570640757346","none","none","1651627594637"
"task1","minaya23","s2","258.57417477509","423.6467956600167","none","none","1651627594682"
"task1","minaya23","s2","267.3631011654622","444.9212926429725","none","none","1651627594742"
"task1","minaya23","s2","256.9911412725261","440.2782372544863","none","none","1651627594816"
"task1","minaya23","s2","244.84590069772977","444.12058662758454","none","none","1651627594881"
"task1","minaya23","s2","220.92819206542083","451.63966153510853","none","none","1651627594941"
"task1","minaya23","s2","214.94919336262734","496.0116382346531","none","none","1651627595008"
"task1","minaya23","s2","233.75145841213765","469.022216239882","none","none","1651627595093"
"task1","minaya23","s2","217.62177815830344","492.1639295287771","none","none","1651627595161"
"task1","minaya23","s2","181.5952135817604","475.8273782387255","none","none","1651627595224"
"task1","minaya23","s2","186.2167894885701","471.4045464376266","none","none","1651627595288"
"task1","minaya23","s2","231.9555752490274","419.9184665623891","none","none","1651627595335"
"task1","minaya23","s2","290.95855062906213","395.032297234605","none","none","1651627595386"
"task1","minaya23","s2","297.2724315317637","371.4169368473363","none","none","1651627595439"
"task1","minaya23","s2","264.0997898262776","343.96560650409367","none","none","1651627595488"
"task1","minaya23","s2","247.41223046879384","333.6549394780528","none","none","1651627595548"
"task1","minaya23","s2","297.0190613581991","331.9094774872868","none","none","1651627595608"
"task1","minaya23","s2","324.0102378838537","378.218283415957","none","none","1651627595667"
"task1","minaya23","s2","365.22256385211995","393.20922617391903","none","none","1651627595712"
"task1","minaya23","s3","239.32070825739652","308.99239325637984","none","none","1651627600847"
"task1","minaya23","s3","237.8798108987951","331.9174926569903","none","none","1651627600908"
"task1","minaya23","s3","189.09087544113592","354.87221635191923","none","none","1651627600979"
"task1","minaya23","s3","234.95886591571752","324.1413424862511","none","none","1651627601026"
"task1","minaya23","s3","234.77157948448064","343.818427235549","none","none","1651627601102"
"task1","minaya23","s3","228.43197488728964","332.1710936445571","none","none","1651627601158"
"task1","minaya23","s3","226.71667640296062","260.37937450648633","none","none","1651627601226"
"task1","minaya23","s3","202.2628642798066","252.65371846507207","none","none","1651627601283"
"task1","minaya23","s3","206.84339457781016","247.78860787382263","none","none","1651627601335"
"task1","minaya23","s3","211.57881631771738","244.56190286913306","none","none","1651627601397"
"task1","minaya23","s3","187.18927364031373","244.24303291200044","none","none","1651627601459"
"task1","minaya23","s3","211.14829342048048","252.07936002741533","none","none","1651627601523"
